Material,1960,1970,1980,1990,2000,2005,2010,2015,2017,2018
Paper and Paperboard,"29,990","44,310","55,160","72,730","87,740","84,840","71,310","68,050","67,010","67,390"
Glass,"6,720","12,740","15,130","13,100","12,770","12,540","11,520","11,470","12,300","12,250"
Metals - Ferrous,"10,300","12,360","12,620","12,640","14,150","15,210","16,920","18,190","18,890","19,200"
Metals - Aluminum,340,800,"1,730","2,810","3,190","3,330","3,510","3,670","3,820","3,890"
Metals - Other Nonferrous,180,670,"1,160","1,100","1,600","1,860","2,020","2,010","2,510","2,510"
Metals - Total Metals,"10,820","13,830","15,510","16,550","18,940","20,400","22,450","23,870","25,220","25,600"
Plastics,390,"2,900","6,830","17,130","25,550","29,380","31,400","34,480","35,410","35,680"
Rubber and Leather,"1,840","2,970","4,200","5,790","6,670","7,290","7,750","8,560","9,110","9,160"
Textiles,"1,760","2,040","2,530","5,810","9,480","11,510","13,220","16,060","16,890","17,030"
Wood,"3,030","3,720","7,010","12,210","13,570","14,790","15,710","16,300","18,200","18,090"
Other **,70,770,"2,520","3,190","4,000","4,290","4,710","4,880","4,630","4,560"
Total Materials in Products,"54,620","83,280","108,890","146,510","178,720","185,040","178,070","183,670","188,770","189,760"
Food^,"12,200","12,800","13,000","23,860","30,700","32,930","35,740","39,730","40,670","63,130"
Yard Trimmings,"20,000","23,200","27,500","35,000","30,530","32,070","33,400","34,720","35,180","35,400"
Miscellaneous Inorganic Wastes,"1,300","1,780","2,250","2,900","3,500","3,690","3,840","3,990","4,040","4,070"
Total Other Wastes,"33,500","37,780","42,750","61,760","64,730","68,690","72,980","78,440","79,890","102,600"
Total MSW Generated - Weight ¥,"88,120","121,060","151,640","208,270","243,450","253,730","251,050","262,110","268,660","292,360"
