Material,1960,1970,1980,1990,2000,2005,2010,2015,2017,2018
Paper and Paperboard,"24,910","37,390","42,560","43,570","40,450","35,080","22,000","18,280","18,350","17,220"
Glass,"6,620","12,520","14,080","8,660","8,100","8,290","7,030","6,840","7,580","7,550"
Metals - Ferrous,"10,250","12,150","12,000","8,720","7,860","8,550","9,310","9,970","10,430","10,530"
Metals - Aluminum,340,790,"1,390","1,500","1,940","2,230","2,390","2,490","2,670","2,660"
Metals - Other Nonferrous,180,350,600,310,490,530,520,660,730,740
Total Metals,"10,770","13,290","13,990","10,530","10,290","11,310","12,220","13,120","13,830","13,930"
Plastics,390,"2,900","6,670","13,780","19,950","23,270","24,370","26,030","26,820","26,970"
Rubber and Leather,"1,510","2,710","4,000","4,590","3,880","4,130","4,400","4,490","4,950","4,990"
Textiles,"1,710","1,970","2,320","4,270","6,280","7,570","8,900","10,540","11,150","11,300"
Wood,"3,030","3,710","6,860","10,000","9,910","10,690","11,120","11,070","12,290","12,150"
Other **,70,470,"1,990","2,100","2,480","2,570","2,800","2,980","2,970","2,930"
Total Materials in Products,"49,010","74,960","92,470","97,500","101,340","102,910","92,840","93,350","97,940","97,040"
Food,"12,200","12,750","12,740","19,800","24,200","26,370","28,620","30,250","30,630","35,280"
Yard Trimmings,"20,000","23,110","26,950","25,560","11,900","9,990","11,690","10,800","8,650","10,530"
Miscellaneous Inorganic,,,,,,,,,,
Wastes,"1,300","1,770","2,200","2,410","2,820","3,020","3,160","3,210","3,250","3,270"
Total Other Wastes,"33,500","37,630","41,890","47,770","38,920","39,380","43,470","44,260","42,530","49,080"
