Material,1960,1970,1980,1990,2000,2005,2010,2015,2017,2018
Paper and Paperboard,34.0%,36.6%,36.4%,34.9%,36.0%,33.4%,28.4%,26.0%,24.9%,23.1%
Glass,7.6%,10.5%,10.0%,6.3%,5.2%,4.9%,4.6%,4.4%,4.6%,4.2%
Metals - Ferrous,11.7%,10.2%,8.3%,6.1%,5.8%,6.0%,6.7%,6.9%,7.0%,6.6%
Metals - Aluminum,0.4%,0.7%,1.1%,1.3%,1.3%,1.3%,1.4%,1.4%,1.4%,1.3%
Metals - Other Nonferrous,0.2%,0.6%,0.8%,0.5%,0.7%,0.7%,0.8%,0.8%,1.0%,0.9%
Metals - Total Metals,12.3%,11.4%,10.2%,7.9%,7.8%,8.0%,8.9%,9.1%,9.4%,8.8%
Plastics,0.4%,2.4%,4.5%,8.2%,10.5%,11.6%,12.5%,13.2%,13.2%,12.2%
Rubber and Leather,2.1%,2.5%,2.8%,2.8%,2.7%,2.9%,3.1%,3.3%,3.4%,3.1%
Textiles,2.0%,1.7%,1.7%,2.8%,3.9%,4.5%,5.3%,6.1%,6.3%,5.8%
Wood,3.4%,3.1%,4.6%,5.9%,5.6%,5.8%,6.3%,6.2%,6.8%,6.2%
Other **,0.1%,0.6%,1.7%,1.5%,1.6%,1.7%,1.9%,1.8%,1.7%,1.5%
Total Materials in Products,62.0%,68.8%,71.8%,70.3%,73.4%,72.9%,70.9%,70.1%,70.3%,64.9%
Food^,13.8%,10.6%,8.6%,11.5%,12.6%,13.0%,14.2%,15.2%,15.1%,21.6%
Yard Trimmings,22.7%,19.2%,18.1%,16.8%,12.5%,12.6%,13.3%,13.2%,13.1%,12.1%
Miscellaneous Inorganic Wastes,1.5%,1.5%,1.5%,1.4%,1.4%,1.5%,1.5%,1.5%,1.5%,1.4%
Total Other Wastes,38.0%,31.2%,28.2%,29.7%,26.6%,27.1%,29.1%,29.9%,29.7%,35.1%
Total MSW Generated - % ¥,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
