Material,1960,1970,1980,1990,2000,2005,2010,2015,2017,2018
Paper and Paperboard,16.9%,15.3%,21.3%,27.8%,42.8%,49.5%,62.5%,66.6%,65.9%,68.2%
Glass,1.5%,1.3%,5.0%,20.1%,22.6%,20.7%,27.2%,27.8%,25.0%,25.0%
Metals - Ferrous,0.5%,1.2%,2.9%,17.6%,33.1%,33.0%,34.3%,33.4%,32.7%,33.1%
Metals - Aluminum,Neg.,1.3%,17.9%,35.9%,27.0%,20.7%,19.4%,18.3%,15.7%,17.2%
Metals - Other Nonferrous,Neg.,47.8%,46.6%,66.4%,66.3%,68.8%,71.3%,64.2%,68.1%,67.3%
Total Metals,0.5%,3.5%,7.9%,24.0%,34.8%,34.3%,35.3%,33.6%,33.6%,34.1%
Plastics,Neg.,Neg.,0.3%,2.2%,5.8%,6.1%,8.0%,9.0%,8.5%,8.7%
Rubber and Leather,17.9%,8.4%,3.1%,6.4%,12.3%,14.4%,18.6%,18.1%,18.3%,18.2%
Textiles,2.8%,2.9%,6.3%,11.4%,13.9%,15.9%,15.5%,15.3%,15.2%,14.7%
Wood,Neg.,Neg.,Neg.,1.1%,10.1%,12.4%,14.5%,16.3%,16.6%,17.1%
Other **,Neg.,39.0%,19.8%,21.3%,24.5%,28.2%,29.1%,25.2%,21.4%,21.3%
Total Materials in Products – recycled,10.3%,9.6%,13.3%,19.8%,29.7%,32.0%,36.6%,36.8%,35.5%,36.4%
