id,material_id,disposal_id,year,waste_in_tons
1,1,1,1960,
2,1,1,1970,150
3,1,1,1980,860
4,1,1,1990,"8,930"
5,1,1,2000,"9,730"
6,1,1,2005,"7,800"
7,1,1,2010,"4,740"
8,1,1,2015,"4,450"
9,1,1,2017,"4,490"
10,1,1,2018,"4,200"
11,2,1,1960,
12,2,1,1970,60
13,2,1,1980,300
14,2,1,1990,"1,810"
15,2,1,2000,"1,790"
16,2,1,2005,"1,660"
17,2,1,2010,"1,360"
18,2,1,2015,"1,440"
19,2,1,2017,"1,650"
20,2,1,2018,"1,640"
21,3,1,1960,
22,3,1,1970,60
23,3,1,1980,250
24,3,1,1990,"1,690"
25,3,1,2000,"1,610"
26,3,1,2005,"1,640"
27,3,1,2010,"1,810"
28,3,1,2015,"2,150"
29,3,1,2017,"2,290"
30,3,1,2018,"2,310"
31,4,1,1960,
32,4,1,1970,0
33,4,1,1980,30
34,4,1,1990,300
35,4,1,2000,390
36,4,1,2005,410
37,4,1,2010,440
38,4,1,2015,510
39,4,1,2017,550
40,4,1,2018,560
41,5,1,1960,
42,5,1,1970,0
43,5,1,1980,20
44,5,1,1990,60
45,5,1,2000,50
46,5,1,2005,50
47,5,1,2010,60
48,5,1,2015,60
49,5,1,2017,70
50,5,1,2018,80
51,6,1,1960,
52,6,1,1970,0
53,6,1,1980,140
54,6,1,1990,"2,980"
55,6,1,2000,"4,120"
56,6,1,2005,"4,330"
57,6,1,2010,"4,530"
58,6,1,2015,"5,330"
59,6,1,2017,"5,590"
60,6,1,2018,"5,620"
61,7,1,1960,
62,7,1,1970,10
63,7,1,1980,70
64,7,1,1990,830
65,7,1,2000,"1,970"
66,7,1,2005,"2,110"
67,7,1,2010,"1,910"
68,7,1,2015,"2,520"
69,7,1,2017,"2,490"
70,7,1,2018,"2,500"
71,8,1,1960,
72,8,1,1970,10
73,8,1,1980,50
74,8,1,1990,880
75,8,1,2000,"1,880"
76,8,1,2005,"2,110"
77,8,1,2010,"2,270"
78,8,1,2015,"3,060"
79,8,1,2017,"3,170"
80,8,1,2018,"3,220"
81,9,1,1960,
82,9,1,1970,10
83,9,1,1980,150
84,9,1,1990,"2,080"
85,9,1,2000,"2,290"
86,9,1,2005,"2,270"
87,9,1,2010,"2,310"
88,9,1,2015,"2,570"
89,9,1,2017,"2,880"
90,9,1,2018,"2,840"
91,10,1,1960,
92,10,1,1970,0
93,10,1,1980,30
94,10,1,1990,410
95,10,1,2000,540
96,10,1,2005,510
97,10,1,2010,540
98,10,1,2015,670
99,10,1,2017,670
100,10,1,2018,660
101,11,1,1960,
102,11,1,1970,50
103,11,1,1980,260
